tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1338,6/1/2015 0:00,6/1/2015 0:22,128,MacDougal St & Prince St,40.72710258,-74.00297088,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,20721,Subscriber,1984,1
673,6/1/2015 7:15,6/1/2015 7:27,295,Pike St & E Broadway,40.71406667,-73.99293911,375,Mercer St & Bleecker St,40.72679454,-73.99695094,17051,Subscriber,1995,1
399,6/1/2015 8:07,6/1/2015 8:14,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,510,W 51 St & 6 Ave,40.7606597,-73.98042047,21281,Subscriber,1970,1
609,6/1/2015 8:49,6/1/2015 9:00,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,2000,Front St & Washington St,40.70255088,-73.98940236,19384,Subscriber,1983,1
341,6/1/2015 9:22,6/1/2015 9:28,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,454,E 51 St & 1 Ave,40.75455731,-73.96592976,21585,Subscriber,1962,1
489,6/1/2015 10:03,6/1/2015 10:11,316,Fulton St & William St,40.70955958,-74.00653609,268,Howard St & Centre St,40.71910537,-73.99973337,20258,Subscriber,1959,1
269,6/1/2015 13:36,6/1/2015 13:40,340,Madison St & Clinton St,40.71269042,-73.98776323,361,Allen St & Hester St,40.71605866,-73.99190759,21510,Subscriber,1953,2
218,6/1/2015 15:00,6/1/2015 15:04,476,E 31 St & 3 Ave,40.74394314,-73.97966069,2012,E 27 St & 1 Ave,40.739445,-73.976806,19328,Subscriber,1970,1
674,6/1/2015 16:05,6/1/2015 16:16,457,Broadway & W 58 St,40.76695317,-73.98169333,444,Broadway & W 24 St,40.7423543,-73.98915076,19760,Subscriber,1990,1
626,6/1/2015 16:54,6/1/2015 17:05,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,492,W 33 St & 7 Ave,40.75019995,-73.99093085,17334,Subscriber,1960,1
464,6/1/2015 17:26,6/1/2015 17:34,492,W 33 St & 7 Ave,40.75019995,-73.99093085,462,W 22 St & 10 Ave,40.74691959,-74.00451887,20905,Subscriber,1980,1
99,6/1/2015 17:52,6/1/2015 17:54,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,439,E 4 St & 2 Ave,40.7262807,-73.98978041,17851,Subscriber,1982,1
365,6/1/2015 18:18,6/1/2015 18:24,435,W 21 St & 6 Ave,40.74173969,-73.99415556,127,Barrow St & Hudson St,40.73172428,-74.00674436,15584,Subscriber,1981,1
1354,6/1/2015 18:48,6/1/2015 19:11,382,University Pl & E 14 St,40.73492695,-73.99200509,128,MacDougal St & Prince St,40.72710258,-74.00297088,21468,Subscriber,1956,1
388,6/1/2015 19:56,6/1/2015 20:03,546,E 30 St & Park Ave S,40.74444921,-73.98303529,167,E 39 St & 3 Ave,40.7489006,-73.97604882,19233,Subscriber,1970,1
162,6/1/2015 22:08,6/1/2015 22:11,127,Barrow St & Hudson St,40.73172428,-74.00674436,238,Bank St & Washington St,40.7361967,-74.00859207,17675,Subscriber,1990,1
479,6/2/2015 7:02,6/2/2015 7:10,501,FDR Drive & E 35 St,40.744219,-73.97121214,517,Pershing Square South,40.751581,-73.97791,19728,Subscriber,1969,1
566,6/2/2015 8:18,6/2/2015 8:28,432,E 7 St & Avenue A,40.72621788,-73.98379855,475,E 16 St & Irving Pl,40.73524276,-73.98758561,18110,Subscriber,1971,1
1057,6/2/2015 9:07,6/2/2015 9:25,418,Front St & Gold St,40.70224,-73.982578,2009,Catherine St & Monroe St,40.71117444,-73.99682619,17559,Subscriber,1963,2
407,6/2/2015 10:08,6/2/2015 10:15,500,Broadway & W 51 St,40.76228826,-73.98336183,484,W 44 St & 5 Ave,40.75500254,-73.98014437,21189,Subscriber,1953,2
357,6/2/2015 11:40,6/2/2015 11:46,293,Lafayette St & E 8 St,40.73028666,-73.9907647,128,MacDougal St & Prince St,40.72710258,-74.00297088,17734,Subscriber,1985,1
314,6/2/2015 12:59,6/2/2015 13:05,483,E 12 St & 3 Ave,40.73223272,-73.98889957,254,W 11 St & 6 Ave,40.73532427,-73.99800419,19667,Subscriber,1989,2
141,6/2/2015 14:39,6/2/2015 14:42,307,Canal St & Rutgers St,40.71427487,-73.98990025,291,Madison St & Montgomery St,40.713126,-73.984844,19905,Subscriber,1983,1
502,6/2/2015 16:49,6/2/2015 16:57,519,Pershing Square North,40.751873,-73.977706,448,W 37 St & 10 Ave,40.75660359,-73.9979009,16802,Subscriber,1987,1
1189,6/2/2015 17:48,6/2/2015 18:07,309,Murray St & West St,40.7149787,-74.013012,494,W 26 St & 8 Ave,40.74734825,-73.99723551,18173,Subscriber,1991,1
435,6/2/2015 18:33,6/2/2015 18:40,375,Mercer St & Bleecker St,40.72679454,-73.99695094,127,Barrow St & Hudson St,40.73172428,-74.00674436,16315,Subscriber,1970,1
167,6/2/2015 19:52,6/2/2015 19:55,500,Broadway & W 51 St,40.76228826,-73.98336183,449,W 52 St & 9 Ave,40.76461837,-73.98789473,18783,Subscriber,1991,1
174,6/2/2015 23:06,6/2/2015 23:09,308,St James Pl & Oliver St,40.71307916,-73.99851193,295,Pike St & E Broadway,40.71406667,-73.99293911,15000,Subscriber,1991,1
234,6/3/2015 6:20,6/3/2015 6:24,410,Suffolk St & Stanton St,40.72066442,-73.98517977,531,Forsyth St & Broome St,40.71893904,-73.99266288,17649,Subscriber,1959,1
591,6/3/2015 7:14,6/3/2015 7:24,346,Bank St & Hudson St,40.73652889,-74.00618026,250,Lafayette St & Jersey St,40.72456089,-73.99565293,16909,Subscriber,1984,2
1573,6/3/2015 7:45,6/3/2015 8:11,521,8 Ave & W 31 St,40.75096735,-73.99444208,79,Franklin St & W Broadway,40.71911552,-74.00666661,20663,Subscriber,1955,2
988,6/3/2015 8:09,6/3/2015 8:26,233,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739,147,Greenwich St & Warren St,40.71542197,-74.01121978,19621,Subscriber,1964,1
580,6/3/2015 8:28,6/3/2015 8:38,153,E 40 St & 5 Ave,40.75206231,-73.9816324,442,W 27 St & 7 Ave,40.746647,-73.993915,17704,Subscriber,1952,2
1441,6/3/2015 8:46,6/3/2015 9:10,329,Greenwich St & N Moore St,40.72043411,-74.01020609,375,Mercer St & Bleecker St,40.72679454,-73.99695094,18189,Subscriber,1973,1
2316,6/3/2015 9:05,6/3/2015 9:43,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,442,W 27 St & 7 Ave,40.746647,-73.993915,16935,Subscriber,1966,1
1291,6/3/2015 9:28,6/3/2015 9:49,308,St James Pl & Oliver St,40.71307916,-73.99851193,446,W 24 St & 7 Ave,40.74487634,-73.99529885,16993,Subscriber,1985,1
1451,6/3/2015 9:58,6/3/2015 10:22,432,E 7 St & Avenue A,40.72621788,-73.98379855,402,Broadway & E 22 St,40.7403432,-73.98955109,17344,Subscriber,1957,1
1249,6/3/2015 10:42,6/3/2015 11:03,257,Lispenard St & Broadway,40.71939226,-74.00247214,257,Lispenard St & Broadway,40.71939226,-74.00247214,18667,Subscriber,1983,1
477,6/3/2015 11:30,6/3/2015 11:38,375,Mercer St & Bleecker St,40.72679454,-73.99695094,128,MacDougal St & Prince St,40.72710258,-74.00297088,16302,Subscriber,1985,1
361,6/3/2015 12:12,6/3/2015 12:18,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,251,Mott St & Prince St,40.72317958,-73.99480012,16449,Subscriber,1974,2
108,6/3/2015 12:52,6/3/2015 12:54,536,1 Ave & E 30 St,40.74144387,-73.97536082,527,E 33 St & 2 Ave,40.744023,-73.976056,15709,Subscriber,1958,1
749,6/3/2015 13:30,6/3/2015 13:42,487,E 20 St & FDR Drive,40.73314259,-73.97573881,444,Broadway & W 24 St,40.7423543,-73.98915076,15232,Subscriber,1991,1
733,6/3/2015 14:06,6/3/2015 14:18,404,9 Ave & W 14 St,40.7405826,-74.00550867,497,E 17 St & Broadway,40.73704984,-73.99009296,17424,Subscriber,1991,2
901,6/3/2015 14:41,6/3/2015 14:57,442,W 27 St & 7 Ave,40.746647,-73.993915,128,MacDougal St & Prince St,40.72710258,-74.00297088,18825,Subscriber,1990,1
1763,6/3/2015 15:15,6/3/2015 15:44,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,15472,Subscriber,1982,2
1555,6/3/2015 15:48,6/3/2015 16:14,427,Bus Slip & State St,40.701907,-74.013942,426,West St & Chambers St,40.71754834,-74.01322069,20106,Customer,,0
1053,6/3/2015 16:19,6/3/2015 16:37,517,Pershing Square South,40.751581,-73.97791,345,W 13 St & 6 Ave,40.73649403,-73.99704374,21684,Subscriber,1986,2
582,6/3/2015 16:44,6/3/2015 16:54,545,E 23 St & 1 Ave,40.736502,-73.97809472,517,Pershing Square South,40.751581,-73.97791,19110,Subscriber,1963,1
1240,6/3/2015 17:05,6/3/2015 17:26,474,5 Ave & E 29 St,40.7451677,-73.98683077,505,6 Ave & W 33 St,40.74901271,-73.98848395,18909,Subscriber,1966,1
618,6/3/2015 17:21,6/3/2015 17:32,405,Washington St & Gansevoort St,40.739323,-74.008119,375,Mercer St & Bleecker St,40.72679454,-73.99695094,20839,Subscriber,1973,1
1147,6/3/2015 17:37,6/3/2015 17:56,497,E 17 St & Broadway,40.73704984,-73.99009296,444,Broadway & W 24 St,40.7423543,-73.98915076,21133,Subscriber,1982,1
1408,6/3/2015 17:52,6/3/2015 18:16,469,Broadway & W 53 St,40.76344058,-73.98268129,497,E 17 St & Broadway,40.73704984,-73.99009296,20662,Customer,,0
1182,6/3/2015 18:08,6/3/2015 18:27,449,W 52 St & 9 Ave,40.76461837,-73.98789473,463,9 Ave & W 16 St,40.74206539,-74.00443172,20292,Subscriber,1990,2
729,6/3/2015 18:21,6/3/2015 18:33,305,E 58 St & 3 Ave,40.76095756,-73.96724467,527,E 33 St & 2 Ave,40.744023,-73.976056,17445,Subscriber,1977,1
719,6/3/2015 18:37,6/3/2015 18:49,453,W 22 St & 8 Ave,40.74475148,-73.99915362,515,W 43 St & 10 Ave,40.76009437,-73.99461843,16004,Subscriber,1965,1
1062,6/3/2015 18:55,6/3/2015 19:13,339,Avenue D & E 12 St,40.72580614,-73.97422494,442,W 27 St & 7 Ave,40.746647,-73.993915,16392,Subscriber,1991,2
1959,6/3/2015 19:15,6/3/2015 19:48,348,W Broadway & Spring St,40.72490985,-74.00154702,510,W 51 St & 6 Ave,40.7606597,-73.98042047,21619,Customer,,0
455,6/3/2015 19:38,6/3/2015 19:46,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,422,W 59 St & 10 Ave,40.770513,-73.988038,19663,Subscriber,1989,1
991,6/3/2015 20:07,6/3/2015 20:24,511,E 14 St & Avenue B,40.72938685,-73.97772429,368,Carmine St & 6 Ave,40.73038599,-74.00214988,14585,Subscriber,1954,2
547,6/3/2015 20:41,6/3/2015 20:50,445,E 10 St & Avenue A,40.72740794,-73.98142006,507,E 25 St & 2 Ave,40.73912601,-73.97973776,17386,Subscriber,1992,2
611,6/3/2015 21:26,6/3/2015 21:36,426,West St & Chambers St,40.71754834,-74.01322069,358,Christopher St & Greenwich St,40.73291553,-74.00711384,17374,Subscriber,1963,2
227,6/3/2015 22:35,6/3/2015 22:39,428,E 3 St & 1 Ave,40.72467721,-73.98783413,433,E 13 St & Avenue A,40.72955361,-73.98057249,19501,Subscriber,1982,1
238,6/4/2015 0:51,6/4/2015 0:55,445,E 10 St & Avenue A,40.72740794,-73.98142006,487,E 20 St & FDR Drive,40.73314259,-73.97573881,19859,Subscriber,1978,1
1790,6/4/2015 6:43,6/4/2015 7:13,521,8 Ave & W 31 St,40.75096735,-73.99444208,459,W 20 St & 11 Ave,40.746745,-74.007756,18051,Subscriber,1969,1
1101,6/4/2015 7:30,6/4/2015 7:48,489,10 Ave & W 28 St,40.75066386,-74.00176802,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,17775,Subscriber,1987,1
1514,6/4/2015 7:57,6/4/2015 8:22,225,W 14 St & The High Line,40.74195138,-74.00803013,360,William St & Pine St,40.70717936,-74.00887308,19652,Subscriber,1989,2
