"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"475","12/1/2015 07:35:36","12/1/2015 07:43:32","72","W 52 St & 11 Ave","40.76727216","-73.99392888","173","Broadway & W 49 St","40.76064679","-73.98442659","22780","Subscriber","1983","1"
"521","12/15/2015 17:59:48","12/15/2015 18:08:30","72","W 52 St & 11 Ave","40.76727216","-73.99392888","490","8 Ave & W 33 St","40.751551","-73.993934","15832","Subscriber","1964","1"
"552","12/7/2015 16:59:48","12/7/2015 17:09:00","79","Franklin St & W Broadway","40.71911552","-74.00666661","3002","South End Ave & Liberty St","40.711512","-74.015756","24347","Subscriber","1945","1"
"250","12/24/2015 12:41:33","12/24/2015 12:45:43","79","Franklin St & W Broadway","40.71911552","-74.00666661","2004","6 Ave & Broome St","40.724399","-74.004704","18671","Subscriber","1955","1"
"305","12/4/2015 17:46:47","12/4/2015 17:51:52","83","Atlantic Ave & Fort Greene Pl","40.68382604","-73.97632328","384","Fulton St & Washington Ave","40.683048","-73.964915","21326","Subscriber","1988","1"
"487","12/3/2015 18:25:45","12/3/2015 18:33:52","116","W 17 St & 8 Ave","40.74177603","-74.00149746","252","MacDougal St & Washington Sq","40.73226398","-73.99852205","15911","Subscriber","1987","1"
"202","12/10/2015 16:07:13","12/10/2015 16:10:36","116","W 17 St & 8 Ave","40.74177603","-74.00149746","435","W 21 St & 6 Ave","40.74173969","-73.99415556","22680","Subscriber","1988","1"
"193","12/16/2015 14:51:51","12/16/2015 14:55:05","116","W 17 St & 8 Ave","40.74177603","-74.00149746","223","W 13 St & 7 Ave","40.73781509","-73.99994661","24022","Subscriber","1975","1"
"678","12/27/2015 15:36:25","12/27/2015 15:47:44","116","W 17 St & 8 Ave","40.74177603","-74.00149746","229","Great Jones St","40.72743423","-73.99379025","19358","Subscriber","1986","1"
"656","12/2/2015 06:07:00","12/2/2015 06:17:56","127","Barrow St & Hudson St","40.73172428","-74.00674436","152","Warren St & Church St","40.71473993","-74.00910627","20178","Subscriber","1990","2"
"629","12/8/2015 09:33:42","12/8/2015 09:44:12","127","Barrow St & Hudson St","40.73172428","-74.00674436","459","W 20 St & 11 Ave","40.746745","-74.007756","22872","Subscriber","1990","1"
"868","12/13/2015 12:47:09","12/13/2015 13:01:38","127","Barrow St & Hudson St","40.73172428","-74.00674436","79","Franklin St & W Broadway","40.71911552","-74.00666661","22894","Subscriber","1992","2"
"402","12/20/2015 08:03:39","12/20/2015 08:10:21","127","Barrow St & Hudson St","40.73172428","-74.00674436","329","Greenwich St & N Moore St","40.72043411","-74.01020609","21451","Subscriber","1966","1"
"823","12/3/2015 08:05:33","12/3/2015 08:19:16","128","MacDougal St & Prince St","40.72710258","-74.00297088","505","6 Ave & W 33 St","40.74901271","-73.98848395","15384","Subscriber","1978","1"
"484","12/10/2015 23:29:36","12/10/2015 23:37:40","128","MacDougal St & Prince St","40.72710258","-74.00297088","147","Greenwich St & Warren St","40.71542197","-74.01121978","19881","Subscriber","1997","1"
"704","12/18/2015 14:20:24","12/18/2015 14:32:08","128","MacDougal St & Prince St","40.72710258","-74.00297088","3224","W 13 St & Hudson St","40.73997354103409","-74.00513872504234","19644","Subscriber","1992","2"
"446","12/2/2015 13:45:50","12/2/2015 13:53:16","137","E 56 St & Madison Ave","40.761628","-73.972924","440","E 45 St & 3 Ave","40.75255434","-73.97282625","22734","Subscriber","1968","1"
"573","12/16/2015 18:07:21","12/16/2015 18:16:55","137","E 56 St & Madison Ave","40.761628","-73.972924","3164","Columbus Ave & W 72 St","40.7770575","-73.97898475","15686","Subscriber","1981","1"
"1212","12/15/2015 08:17:42","12/15/2015 08:37:54","143","Clinton St & Joralemon St","40.69239502","-73.99337909","304","Broadway & Battery Pl","40.70463334","-74.01361706","17048","Subscriber","1980","2"
"874","12/6/2015 18:38:16","12/6/2015 18:52:50","146","Hudson St & Reade St","40.71625008","-74.0091059","470","W 20 St & 8 Ave","40.74345335","-74.00004031","24058","Subscriber","1982","1"
"324","12/22/2015 02:29:30","12/22/2015 02:34:55","146","Hudson St & Reade St","40.71625008","-74.0091059","316","Fulton St & William St","40.70955958","-74.00653609","19938","Subscriber","1984","1"
"1150","12/7/2015 17:39:16","12/7/2015 17:58:27","147","Greenwich St & Warren St","40.71542197","-74.01121978","405","Washington St & Gansevoort St","40.739323","-74.008119","20117","Customer","","0"
"529","12/14/2015 18:54:44","12/14/2015 19:03:34","147","Greenwich St & Warren St","40.71542197","-74.01121978","355","Bayard St & Baxter St","40.71602118","-73.99974372","19608","Subscriber","1966","0"
"373","12/26/2015 16:10:54","12/26/2015 16:17:07","147","Greenwich St & Warren St","40.71542197","-74.01121978","2008","Little West St & 1 Pl","40.70569254","-74.01677685","23490","Subscriber","1954","1"
"604","12/10/2015 15:35:00","12/10/2015 15:45:04","150","E 2 St & Avenue C","40.7208736","-73.98085795","293","Lafayette St & E 8 St","40.73028666","-73.9907647","22586","Subscriber","1957","1"
"219","12/1/2015 21:26:07","12/1/2015 21:29:47","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","348","W Broadway & Spring St","40.72490985","-74.00154702","21019","Subscriber","1984","1"
"1543","12/7/2015 16:47:01","12/7/2015 17:12:45","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","157","Henry St & Atlantic Ave","40.69089272","-73.99612349","21210","Subscriber","1995","2"
"540","12/12/2015 13:32:15","12/12/2015 13:41:15","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","293","Lafayette St & E 8 St","40.73028666","-73.9907647","19610","Subscriber","1991","1"
"1157","12/16/2015 19:21:22","12/16/2015 19:40:40","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","3081","Graham Ave & Grand St","40.711863","-73.944024","17127","Subscriber","1989","1"
"1075","12/23/2015 08:46:49","12/23/2015 09:04:44","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","435","W 21 St & 6 Ave","40.74173969","-73.99415556","18661","Subscriber","1978","2"
"718","12/3/2015 12:33:39","12/3/2015 12:45:38","152","Warren St & Church St","40.71473993","-74.00910627","345","W 13 St & 6 Ave","40.73649403","-73.99704374","19972","Subscriber","1977","2"
"678","12/22/2015 21:38:00","12/22/2015 21:49:18","152","Warren St & Church St","40.71473993","-74.00910627","346","Bank St & Hudson St","40.73652889","-74.00618026","16298","Subscriber","1983","1"
"324","12/20/2015 23:04:09","12/20/2015 23:09:33","157","Henry St & Atlantic Ave","40.69089272","-73.99612349","216","Columbia Heights & Cranberry St","40.70037867","-73.99548059","15440","Subscriber","1982","1"
"581","12/15/2015 12:31:33","12/15/2015 12:41:15","160","E 37 St & Lexington Ave","40.748238","-73.978311","523","W 38 St & 8 Ave","40.75466591","-73.99138152","14957","Subscriber","1969","2"
"517","12/3/2015 20:17:44","12/3/2015 20:26:21","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","301","E 2 St & Avenue B","40.72217444","-73.98368779","20585","Subscriber","1990","2"
"221","12/10/2015 17:52:02","12/10/2015 17:55:43","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","253","W 13 St & 5 Ave","40.73543934","-73.99453948","20077","Subscriber","1968","1"
