Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
680,2017-01-01 00:00:21,2017-01-01 00:11:41,3226,W 82 St & Central Park West,40.78275,-73.97137,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,25542,Subscriber,1965,2
157,2017-01-01 03:04:00,2017-01-01 03:06:38,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,23288,Subscriber,1985,1
1096,2017-01-01 09:34:24,2017-01-01 09:52:41,3389,Carroll St & Columbia St,40.6830456,-74.00348559,3354,3 St & Prospect Park West,40.668132,-73.97363831,26080,Subscriber,,0
559,2017-01-01 11:10:52,2017-01-01 11:20:11,445,E 10 St & Avenue A,40.72740794,-73.98142006,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,22201,Subscriber,1986,1
424,2017-01-01 12:12:08,2017-01-01 12:19:12,433,E 13 St & Avenue A,40.72955361,-73.98057249,311,Norfolk St & Broome St,40.7172274,-73.98802084,21332,Subscriber,1987,1
3307,2017-01-01 12:57:27,2017-01-01 13:52:35,3295,Central Park W & W 96 St,40.79127,-73.964839,3295,Central Park W & W 96 St,40.79127,-73.964839,23369,Subscriber,1977,1
626,2017-01-01 13:39:02,2017-01-01 13:49:28,2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,454,E 51 St & 1 Ave,40.75455731,-73.96592976,26484,Subscriber,1990,1
342,2017-01-01 14:15:42,2017-01-01 14:21:24,434,9 Ave & W 18 St,40.74317449,-74.00366443,383,Greenwich Ave & Charles St,40.735238,-74.000271,26461,Subscriber,1957,2
361,2017-01-01 14:49:41,2017-01-01 14:55:42,402,Broadway & E 22 St,40.7403432,-73.98955109,253,W 13 St & 5 Ave,40.73543934,-73.99453948,14686,Subscriber,1987,2
370,2017-01-01 15:24:05,2017-01-01 15:30:15,505,6 Ave & W 33 St,40.74901271,-73.98848395,528,2 Ave & E 31 St,40.74290902,-73.97706058,15183,Subscriber,1986,1
1631,2017-01-01 15:56:23,2017-01-01 16:23:35,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,392,Jay St & Tech Pl,40.695065,-73.987167,20570,,1988,2
782,2017-01-01 16:37:10,2017-01-01 16:50:13,514,12 Ave & W 40 St,40.76087502,-74.00277668,477,W 41 St & 8 Ave,40.75640548,-73.9900262,19739,Customer,,0
366,2017-01-01 17:25:11,2017-01-01 17:31:17,394,E 9 St & Avenue C,40.72521311,-73.97768752,428,E 3 St & 1 Ave,40.72467721,-73.98783413,25147,Subscriber,1968,1
1008,2017-01-01 18:27:22,2017-01-01 18:44:11,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,334,W 20 St & 7 Ave,40.74238787,-73.99726235,25084,Subscriber,1984,2
216,2017-01-01 19:38:05,2017-01-01 19:41:41,3357,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,3350,W 100 St & Broadway,40.7973721,-73.97041192,14910,Subscriber,1977,1
359,2017-01-01 21:18:00,2017-01-01 21:24:00,147,Greenwich St & Warren St,40.71542197,-74.01121978,303,Mercer St & Spring St,40.72362738,-73.99949601,22695,Subscriber,1963,1
1221,2017-01-02 00:05:22,2017-01-02 00:25:44,410,Suffolk St & Stanton St,40.72066442,-73.98517977,313,Washington Ave & Park Ave,40.69610226,-73.96751037,27281,Subscriber,1992,1
844,2017-01-02 08:34:10,2017-01-02 08:48:14,435,W 21 St & 6 Ave,40.74173969,-73.99415556,515,W 43 St & 10 Ave,40.76009437,-73.99461843,26784,Subscriber,1956,1
740,2017-01-02 10:23:57,2017-01-02 10:36:17,3289,W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,469,Broadway & W 53 St,40.76344058,-73.98268129,27050,Subscriber,1953,1
1322,2017-01-02 11:37:13,2017-01-02 11:59:16,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3424,E 106 St & Lexington Ave,40.791976,-73.945993,15974,Subscriber,1985,1
1078,2017-01-02 12:56:54,2017-01-02 13:14:53,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,20861,Subscriber,1961,2
520,2017-01-02 14:47:38,2017-01-02 14:56:18,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,25025,Subscriber,1983,1
298,2017-01-02 16:39:03,2017-01-02 16:44:01,3382,Carroll St & Smith St,40.680611,-73.99475825,3422,Columbia St & Degraw St,40.6859296,-74.00242364,26384,Subscriber,1984,1
493,2017-01-02 18:39:06,2017-01-02 18:47:20,433,E 13 St & Avenue A,40.72955361,-73.98057249,3427,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,25604,Subscriber,1972,1
485,2017-01-02 20:39:04,2017-01-02 20:47:10,423,W 54 St & 9 Ave,40.76584941,-73.98690506,478,11 Ave & W 41 St,40.76030096,-73.99884222,25826,Subscriber,1981,1
1525,2017-01-03 03:28:46,2017-01-03 03:54:11,285,Broadway & E 14 St,40.73454567,-73.99074142,505,6 Ave & W 33 St,40.74901271,-73.98848395,21238,Subscriber,1976,1
517,2017-01-03 07:06:05,2017-01-03 07:14:43,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,19400,Subscriber,1963,1
899,2017-01-03 07:51:10,2017-01-03 08:06:09,3230,Penn Station Valet,40.751283596962296,-73.99692445993422,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15905,Subscriber,1981,1
315,2017-01-03 08:22:19,2017-01-03 08:27:35,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,20998,Subscriber,,0
495,2017-01-03 08:46:54,2017-01-03 08:55:10,307,Canal St & Rutgers St,40.71427487,-73.98990025,312,Allen St & Stanton St,40.722055,-73.989111,23860,Subscriber,1962,2
