"INDEX","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","JOB_EDU","HOME_INCOME","MVR_PTS_Trans","AGE_SEX","BLUEBOOK_TRAN","TARGET_FLAG_Proba","TARGET_FLAG","TARGET_AMT"
3,0,48,0,11,52881,0,0,0,0,3,6,26,0,21970,1,3,1,0,0,0,2,10,1,3,0,1,3.89182029811063,118.29093115361,0.4,0,0
9,1,40,1,11,50815,1,0,0,0,2,6,21,0,18930,6,1,0,3295,1,0,2,1,1,2,0,1,3.71357206670431,111.573721598501,0.6,1,4165.96252745164
10,0,44,2,12,43486,1,0,0,1,2,3,30,1,5900,10,2,0,0,0,0,0,10,0,2,0,0,7.61332497954064,70.3823799560038,0.4,0,0
18,0,35,2,13,21204,1,0,0,0,2,4,74,0,9230,6,4,0,0,0,1,0,4,0,2,0,0,3.58351893845611,84.0606286797575,0.5,1,3619.42926919799
21,0,59,0,12,87460,0,0,0,0,2,6,45,0,15420,1,1,1,44857,2,0,4,1,1,2,0,2,4.0943445622221,102.930373728633,0.7,1,4125.92033958928
30,0,46,0,14,74334,0,207519,1,0,3,5,7,1,25660,1,5,0,2119,1,0,2,12,1,3,137.321425449274,1,3.85014760171006,125.714498780413,0.4,0,0
31,0,60,0,12,37940,0,182739,1,1,2,3,16,1,11290,1,6,0,0,0,0,0,1,1,2,127.746629065236,0,8.22174772834662,91.028200905734,0.6,1,3751.30379267557
37,0,54,0,12,33212,0,158432,1,0,1,3,27,1,24000,4,5,0,0,0,0,5,6,1,1,124.648177384259,2,4.00733318523247,122.462332779063,0.6,1,4595.13193627885
39,2,36,2,12,130540,1,344195,0,1,3,3,5,1,27200,4,1,0,0,0,0,0,9,0,2,150.175720001626,0,7.22183582528845,128.617554589176,0.2,0,0
47,0,50,0,8,167469,0,0,0,1,5,8,22,0,34150,4,6,0,0,0,0,3,1,1,4,0,1,7.86365126544865,140.594058483968,0.3,0,0
